mgmtID,name,market,state
27918,Essex Property Trust AKA Essex Apartment Homes,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
29079,East Bay Asian Local Development Corp. (EBALDC),San Francisco,CA
28444,VPM Management Inc.,San Francisco,CA
28177,The John Stewart Company,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
28645,Brookfield Properties FKA Forest City Residential,San Francisco,CA
28177,The John Stewart Company,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
24984,Alliance Residential,San Francisco,CA
29079,East Bay Asian Local Development Corp. (EBALDC),San Francisco,CA
28178,Bridge Housing,San Francisco,CA
24707,Berkshire Residential Investments AKA Berkshire Group,San Francisco,CA
26103,Merritt Properties,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
25498,Mercy Housing,San Francisco,CA
28623,Christian Church Homes,San Francisco,CA
28623,Christian Church Homes,San Francisco,CA
26831,FPI Management,San Francisco,CA
26831,FPI Management,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
27535,Avanath Capital Management,San Francisco,CA
29082,The Unity Council,San Francisco,CA
25105,Pinnacle,San Francisco,CA
25105,Pinnacle,San Francisco,CA
28907,Berger Enterprises,San Francisco,CA
24847,Sequoia Equities,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
28907,Berger Enterprises,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
28460,Cambridge Management Company,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
28742,Fuller Enterprises,San Francisco,CA
24832,AMC (Apartment Management Consultants),San Francisco,CA
28598,Emerald Properties,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
28611,Davidon Homes,San Francisco,CA
28471,CWP Property Management,San Francisco,CA
27920,Trion Properties,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
24832,AMC (Apartment Management Consultants),San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
28194,Eden Housing,San Francisco,CA
24832,AMC (Apartment Management Consultants),San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
28364,RW Zukin Real Estate Services,San Francisco,CA
28598,Emerald Properties,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
28194,Eden Housing,San Francisco,CA
28742,Fuller Enterprises,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
25899,KAE Real Estate Services,San Francisco,CA
25899,KAE Real Estate Services,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
25899,KAE Real Estate Services,San Francisco,CA
25899,KAE Real Estate Services,San Francisco,CA
25498,Mercy Housing,San Francisco,CA
28742,Fuller Enterprises,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
26703,Legacy Partners,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
24736,Privately Owned and Managed,San Francisco,CA
