propertyID,name,formerName,streetAddress,city,market,state,lat,lng
85630,Curry Junction,,3549 Curry Lane,Abilene,Abilene,TX,32.405355,-99.77368
85631,Riatta Ranch,,1111 Musken,Abilene,Abilene,TX,32.453461,-99.704162
85633,Timber Ridge,,3602 Rolling Green Drive,Abilene,Abilene,TX,32.400155,-99.769077
85678,Indian Run,,3500 Cedar Run,Abilene,Abilene,TX,32.4033415,-99.7743763
85680,Warwick,,2400 Arrowhead,Abilene,Abilene,TX,32.394751,-99.75114
85681,Country Club Villas,,4450 Ridgemont Drive,Abilene,Abilene,TX,32.396405,-99.765086
85682,Reserve at Abilene,,3649 Cedar Run Road,Abilene,Abilene,TX,32.402668,-99.771361
85683,The Edge,Cimarron,500 North Judge Ely,Abilene,Abilene,TX,32.4523181,-99.7067642
85687,Residence at Heritage Park,,2789 E Lake Rd,Abilene,Abilene,TX,32.483791,-99.690306
85690,The Arch,T he Grove,2702 N. Judge Ely Blvd,Abilene,Abilene,TX,32.482532,-99.709817
85691,Mesquite Square,,750 North Judge Ely Boulevard,Abilene,Abilene,TX,32.4552303,-99.7062789
85692,Sandpiper,,2102 Beechwood Lane,Abilene,Abilene,TX,32.473156,-99.765702
91741,Tylor Grand ,,3702 Rolling Green Dr.,Abilene,Abilene,TX,32.40017898,-99.77183528
100448,La Ventana,,2109 TX-351,Abilene,Abilene,TX,32.48252,-99.68717
100780,Canterbury Crossing,,1250 Yeomans Road,Abilene,Abilene,TX,32.444885,-99.702461
100851,University Park,,2150 North Judge Ely Boulevard,Abilene,Abilene,TX,32.472031,-99.705887
85605,The Eddison,The Canyons at 45 West,4101 SW 45th,Amarillo,Amarillo,TX,35.16365,-101.881
85607,Red Oak Ranch,,5601 Bell St.,Amarillo,Amarillo,TX,35.148751,-101.90078
85609,Treepoint Meadows,,4600 S Virginia St,Amarillo,Amarillo,TX,35.16148,-101.8809
85610,Stonegate,,6400 Bell,Amarillo,Amarillo,TX,35.139677,-101.9030949
85612,Tree Point Meadows,,4711 South Virginia,Amarillo,Amarillo,TX,35.159255,-101.880579
85613,Country Club Villas,,4401 South Coulter,Amarillo,Amarillo,TX,35.163052,-101.918777
85615,Newport,,6100 Southwest 45th,Amarillo,Amarillo,TX,35.162345,-101.904093
85747,Chasewood,,3420 South Coulte,Amarillo,Amarillo,TX,35.17548,-101.9215
85748,Dove Park,,7501 Seville,Amarillo,Amarillo,TX,35.16471,-101.924
85749,The Little Armadillo,Kensington,1524 Bell St,Amarillo,Amarillo,TX,35.198003,-101.903153
85750,Huntington Pointe,,6801 Wolflin,Amarillo,Amarillo,TX,35.190413,-101.913567
85751,Renaissance,,8200 Amarillo Blvd,Amarillo,Amarillo,TX,35.2218826,-101.8769493
85752,Town Parc,,6501 Woodward St.,Amarillo,Amarillo,TX,35.194645,-101.911232
85753,Rock Island,Willow Glen,7101 Wolflin,Amarillo,Amarillo,TX,35.189891,-101.918777
85760,The Enclave,Tiffany,6209 I40 West,Amarillo,Amarillo,TX,35.1999006,-101.9085851
89115,Buffalo Springs,Canyon Ranch,4615 S. Virginia,Amarillo,Amarillo,TX,35.16096,-101.879
89117,Amarillo Square,Paramount Terrace,4210 Paramount Blvd,Amarillo,Amarillo,TX,35.165935,-101.886702
89127,Lambie Lane,,4302 W 51st Avenue,Amarillo,Amarillo,TX,35.153913,-101.8850526
107152,Hunters Crossing,,1800 Wisdom Dr.,Amarillo,Amarillo,TX,35.194347,-101.908088
139048,Windtree,,631 Brennan Blvd,Amarillo,Amarillo,TX,35.17446,-101.9241
249298,Ridgecrest,,4343 Ridgecrest Cir,Amarillo,Amarillo,TX,35.1665,-101.8893
249352,Indian Trail,,4120 Prairie Ave,Amarillo,Amarillo,TX,35.1613,-101.8824
